harpnum,timestamp,goes_class
86,2010-07-18 00:00:00,B2.1
86,2010-07-18 12:00:00,B5.5
86,2010-07-19 00:00:00,B5.5
86,2010-07-19 12:00:00,
86,2010-07-20 00:00:00,
86,2010-07-20 12:00:00,B5.9
86,2010-07-21 00:00:00,B8.5
92,2010-07-18 00:00:00,
92,2010-07-18 12:00:00,
92,2010-07-19 00:00:00,B2.8
92,2010-07-19 12:00:00,B8.0
92,2010-07-20 00:00:00,C1.4
92,2010-07-20 12:00:00,C1.4
92,2010-07-21 00:00:00,B8.5
92,2010-07-21 12:00:00,B8.5
92,2010-07-22 00:00:00,B9.8
92,2010-07-22 12:00:00,B9.8
92,2010-07-23 00:00:00,B9.3
92,2010-07-23 12:00:00,B9.3
92,2010-07-24 00:00:00,
92,2010-07-24 12:00:00,
92,2010-07-25 00:00:00,B2.3
92,2010-07-25 12:00:00,B3.3
92,2010-07-26 00:00:00,B5.8
92,2010-07-26 12:00:00,C2.2
92,2010-07-27 00:00:00,C2.2
92,2010-07-27 12:00:00,B6.0
92,2010-07-28 00:00:00,C2.8
92,2010-07-28 12:00:00,C2.8
92,2010-07-29 00:00:00,
92,2010-07-29 12:00:00,
92,2010-07-30 00:00:00,
92,2010-07-30 12:00:00,B4.7
92,2010-07-31 00:00:00,B4.7
107,2010-07-28 00:00:00,
107,2010-07-28 12:00:00,
114,2010-08-03 00:00:00,
115,2010-08-03 00:00:00,
115,2010-08-03 12:00:00,B6.6
115,2010-08-04 00:00:00,B6.6
115,2010-08-04 12:00:00,B4.9
115,2010-08-05 00:00:00,C1.3
115,2010-08-05 12:00:00,C1.3
115,2010-08-06 00:00:00,B5.6
115,2010-08-06 12:00:00,
115,2010-08-07 00:00:00,M1.0
115,2010-08-07 12:00:00,M1.0
115,2010-08-08 00:00:00,B2.3
115,2010-08-08 12:00:00,B2.3
115,2010-08-09 00:00:00,B1.8
115,2010-08-09 12:00:00,
115,2010-08-10 00:00:00,
115,2010-08-10 12:00:00,
115,2010-08-11 00:00:00,
115,2010-08-11 12:00:00,
115,2010-08-12 00:00:00,
115,2010-08-12 12:00:00,
115,2010-08-13 00:00:00,B3.4
115,2010-08-13 12:00:00,C4.4
115,2010-08-14 00:00:00,C4.4
115,2010-08-14 12:00:00,C1.6
115,2010-08-15 00:00:00,C5.4
115,2010-08-15 12:00:00,C5.4
115,2010-08-16 00:00:00,C1.4
115,2010-08-16 12:00:00,C1.4
115,2010-08-17 00:00:00,C1.5
116,2010-08-03 00:00:00,
116,2010-08-03 12:00:00,
128,2010-08-09 00:00:00,
131,2010-08-10 00:00:00,
131,2010-08-10 12:00:00,B2.6
131,2010-08-11 00:00:00,B3.8
131,2010-08-11 12:00:00,B3.8
131,2010-08-12 00:00:00,B2.5
131,2010-08-12 12:00:00,
135,2010-08-15 00:00:00,
135,2010-08-15 12:00:00,
135,2010-08-16 00:00:00,
135,2010-08-16 12:00:00,
145,2010-08-23 00:00:00,
145,2010-08-23 12:00:00,
145,2010-08-24 00:00:00,
145,2010-08-24 12:00:00,
145,2010-08-25 00:00:00,
146,2010-08-24 00:00:00,
146,2010-08-24 12:00:00,
146,2010-08-25 00:00:00,
155,2010-09-01 00:00:00,
156,2010-09-02 00:00:00,
156,2010-09-02 12:00:00,
156,2010-09-03 00:00:00,B2.8
156,2010-09-03 12:00:00,B2.8
156,2010-09-04 00:00:00,B3.1
156,2010-09-04 12:00:00,B3.7
156,2010-09-05 00:00:00,B5.6
156,2010-09-05 12:00:00,B5.6
156,2010-09-06 00:00:00,C2.5
156,2010-09-06 12:00:00,C2.5
156,2010-09-07 00:00:00,
156,2010-09-07 12:00:00,B2.3
156,2010-09-08 00:00:00,C3.3
175,2010-09-10 00:00:00,B5.5
175,2010-09-10 12:00:00,B5.5
175,2010-09-11 00:00:00,B5.0
175,2010-09-11 12:00:00,B3.6
175,2010-09-12 00:00:00,B1.9
175,2010-09-12 12:00:00,B2.1
175,2010-09-13 00:00:00,B2.1
175,2010-09-13 12:00:00,
175,2010-09-14 00:00:00,
175,2010-09-14 12:00:00,B5.0
175,2010-09-15 00:00:00,B5.3
175,2010-09-15 12:00:00,B5.3
175,2010-09-16 00:00:00,B4.6
175,2010-09-16 12:00:00,B4.6
175,2010-09-17 00:00:00,B2.7
175,2010-09-17 12:00:00,B4.2
175,2010-09-18 00:00:00,B4.2
175,2010-09-18 12:00:00,B2.4
175,2010-09-19 00:00:00,B2.4
175,2010-09-19 12:00:00,
175,2010-09-20 00:00:00,
175,2010-09-20 12:00:00,
182,2010-09-12 00:00:00,
185,2010-09-15 00:00:00,B9.1
185,2010-09-15 12:00:00,B9.1
185,2010-09-16 00:00:00,B3.7
185,2010-09-16 12:00:00,C1.3
185,2010-09-17 00:00:00,C1.3
185,2010-09-17 12:00:00,
185,2010-09-18 00:00:00,B2.3
185,2010-09-18 12:00:00,B3.6
185,2010-09-19 00:00:00,B3.6
187,2010-09-21 00:00:00,C1.4
187,2010-09-21 12:00:00,B8.5
187,2010-09-22 00:00:00,B8.5
187,2010-09-22 12:00:00,B2.6
187,2010-09-23 00:00:00,B2.6
187,2010-09-23 12:00:00,B2.9
187,2010-09-24 00:00:00,B2.9
187,2010-09-24 12:00:00,B4.0
187,2010-09-25 00:00:00,B4.0
187,2010-09-25 12:00:00,B5.3
187,2010-09-26 00:00:00,B7.3
187,2010-09-26 12:00:00,B7.3
187,2010-09-27 00:00:00,B6.1
187,2010-09-27 12:00:00,B6.1
187,2010-09-28 00:00:00,B2.8
187,2010-09-28 12:00:00,B2.8
187,2010-09-29 00:00:00,
187,2010-09-29 12:00:00,B5.8
187,2010-09-30 00:00:00,B5.8
187,2010-09-30 12:00:00,B3.7
187,2010-10-01 00:00:00,B3.7
187,2010-10-01 12:00:00,B5.0
187,2010-10-02 00:00:00,B5.0
187,2010-10-02 12:00:00,B1.9
187,2010-10-03 00:00:00,
187,2010-10-03 12:00:00,B3.8
187,2010-10-04 00:00:00,C2.3
187,2010-10-04 12:00:00,C2.3
187,2010-10-05 00:00:00,B5.0
190,2010-09-22 00:00:00,
190,2010-09-22 12:00:00,
190,2010-09-23 00:00:00,
190,2010-09-23 12:00:00,
190,2010-09-24 00:00:00,
190,2010-09-24 12:00:00,
190,2010-09-25 00:00:00,
190,2010-09-25 12:00:00,
190,2010-09-26 00:00:00,B3.3
190,2010-09-26 12:00:00,B3.3
190,2010-09-27 00:00:00,B3.3
198,2010-09-27 00:00:00,
198,2010-09-27 12:00:00,
198,2010-09-28 00:00:00,
198,2010-09-28 12:00:00,
198,2010-09-29 00:00:00,
198,2010-09-29 12:00:00,
211,2010-10-08 00:00:00,
211,2010-10-08 12:00:00,
211,2010-10-09 00:00:00,
211,2010-10-09 12:00:00,B5.5
211,2010-10-10 00:00:00,B5.5
211,2010-10-10 12:00:00,
211,2010-10-11 00:00:00,
211,2010-10-11 12:00:00,
211,2010-10-12 00:00:00,
211,2010-10-12 12:00:00,
211,2010-10-13 00:00:00,
211,2010-10-13 12:00:00,
211,2010-10-14 00:00:00,B3.9
211,2010-10-14 12:00:00,B3.9
211,2010-10-15 00:00:00,B1.2
211,2010-10-15 12:00:00,B2.6
211,2010-10-16 00:00:00,M2.9
211,2010-10-16 12:00:00,M2.9
211,2010-10-17 00:00:00,C1.7
211,2010-10-17 12:00:00,C1.6
211,2010-10-18 00:00:00,C2.5
211,2010-10-18 12:00:00,C2.5
211,2010-10-19 00:00:00,C1.3
211,2010-10-19 12:00:00,C1.5
211,2010-10-20 00:00:00,C1.5
211,2010-10-20 12:00:00,B2.1
211,2010-10-21 00:00:00,B2.0
218,2010-10-13 00:00:00,B4.0
218,2010-10-13 12:00:00,B4.0
218,2010-10-14 00:00:00,B2.1
218,2010-10-14 12:00:00,B2.1
218,2010-10-15 00:00:00,B1.2
218,2010-10-15 12:00:00,B1.0
218,2010-10-16 00:00:00,
218,2010-10-16 12:00:00,
218,2010-10-17 00:00:00,
220,2010-10-14 00:00:00,
220,2010-10-14 12:00:00,B1.0
220,2010-10-15 00:00:00,B1.0
220,2010-10-15 12:00:00,
220,2010-10-16 00:00:00,
220,2010-10-16 12:00:00,
220,2010-10-17 00:00:00,
224,2010-10-18 00:00:00,
224,2010-10-18 12:00:00,
224,2010-10-19 00:00:00,
224,2010-10-19 12:00:00,
224,2010-10-20 00:00:00,
241,2010-10-29 00:00:00,
241,2010-10-29 12:00:00,B2.1
245,2010-11-03 00:00:00,C3.4
245,2010-11-03 12:00:00,C3.4
245,2010-11-04 00:00:00,M1.6
245,2010-11-04 12:00:00,M1.6
245,2010-11-05 00:00:00,M1.0
245,2010-11-05 12:00:00,M1.0
245,2010-11-06 00:00:00,M5.4
245,2010-11-06 12:00:00,M5.4
245,2010-11-07 00:00:00,C5.4
245,2010-11-07 12:00:00,B5.2
245,2010-11-08 00:00:00,B1.8
245,2010-11-08 12:00:00,B1.6
245,2010-11-09 00:00:00,B3.0
245,2010-11-09 12:00:00,B6.5
245,2010-11-10 00:00:00,B9.0
245,2010-11-10 12:00:00,C4.7
245,2010-11-11 00:00:00,C4.7
245,2010-11-11 12:00:00,C4.6
245,2010-11-12 00:00:00,C4.6
245,2010-11-12 12:00:00,C1.5
245,2010-11-13 00:00:00,C1.3
245,2010-11-13 12:00:00,C1.1
245,2010-11-14 00:00:00,B2.0
245,2010-11-14 12:00:00,
245,2010-11-15 00:00:00,B7.6
245,2010-11-15 12:00:00,B7.6
245,2010-11-16 00:00:00,B3.8
252,2010-11-09 00:00:00,
252,2010-11-09 12:00:00,
252,2010-11-10 00:00:00,
252,2010-11-10 12:00:00,
252,2010-11-11 00:00:00,B9.4
252,2010-11-11 12:00:00,B9.4
252,2010-11-12 00:00:00,
252,2010-11-12 12:00:00,
252,2010-11-13 00:00:00,B5.7
252,2010-11-13 12:00:00,B5.7
252,2010-11-14 00:00:00,B3.7
252,2010-11-14 12:00:00,C2.3
252,2010-11-15 00:00:00,C2.3
252,2010-11-15 12:00:00,
252,2010-11-16 00:00:00,
252,2010-11-16 12:00:00,B2.5
252,2010-11-17 00:00:00,B2.5
252,2010-11-17 12:00:00,B4.0
252,2010-11-18 00:00:00,B4.0
252,2010-11-18 12:00:00,
252,2010-11-19 00:00:00,
256,2010-11-12 00:00:00,
256,2010-11-12 12:00:00,
256,2010-11-13 00:00:00,
256,2010-11-13 12:00:00,
256,2010-11-14 00:00:00,
256,2010-11-14 12:00:00,
256,2010-11-15 00:00:00,B8.3
256,2010-11-15 12:00:00,B8.3
259,2010-11-15 00:00:00,
259,2010-11-15 12:00:00,
259,2010-11-16 00:00:00,B3.0
259,2010-11-16 12:00:00,B3.0
273,2010-11-27 00:00:00,
274,2010-11-27 00:00:00,
274,2010-11-27 12:00:00,
274,2010-11-28 00:00:00,B2.5
274,2010-11-28 12:00:00,B2.5
274,2010-11-29 00:00:00,B2.6
274,2010-11-29 12:00:00,B2.6
274,2010-11-30 00:00:00,B8.1
274,2010-11-30 12:00:00,C1.0
274,2010-12-01 00:00:00,C1.0
274,2010-12-01 12:00:00,B6.1
274,2010-12-02 00:00:00,B2.1
274,2010-12-02 12:00:00,B2.1
274,2010-12-03 00:00:00,
274,2010-12-03 12:00:00,
274,2010-12-04 00:00:00,
274,2010-12-04 12:00:00,B4.2
274,2010-12-05 00:00:00,B4.2
279,2010-12-01 00:00:00,
279,2010-12-01 12:00:00,B2.3
279,2010-12-02 00:00:00,B2.3
279,2010-12-02 12:00:00,B5.3
279,2010-12-03 00:00:00,B5.3
279,2010-12-03 12:00:00,
279,2010-12-04 00:00:00,
284,2010-12-03 00:00:00,
284,2010-12-03 12:00:00,
284,2010-12-04 00:00:00,
285,2010-12-03 00:00:00,
285,2010-12-03 12:00:00,
285,2010-12-04 00:00:00,B5.6
285,2010-12-04 12:00:00,B5.6
297,2010-12-11 00:00:00,
297,2010-12-11 12:00:00,
297,2010-12-12 00:00:00,B5.9
297,2010-12-12 12:00:00,B5.9
297,2010-12-13 00:00:00,B2.7
297,2010-12-13 12:00:00,B2.7
297,2010-12-14 00:00:00,
297,2010-12-14 12:00:00,C5.3
297,2010-12-15 00:00:00,C5.3
297,2010-12-15 12:00:00,B7.4
297,2010-12-16 00:00:00,B7.4
297,2010-12-16 12:00:00,B4.9
318,2010-12-26 00:00:00,
318,2010-12-26 12:00:00,
318,2010-12-27 00:00:00,B1.5
318,2010-12-27 12:00:00,B1.5
318,2010-12-28 00:00:00,
323,2010-12-30 00:00:00,
323,2010-12-30 12:00:00,
323,2010-12-31 00:00:00,B9.2
323,2010-12-31 12:00:00,B9.2
323,2011-01-01 00:00:00,B8.3
323,2011-01-01 12:00:00,B8.3
323,2011-01-02 00:00:00,B4.6
323,2011-01-02 12:00:00,B3.0
323,2011-01-03 00:00:00,
323,2011-01-03 12:00:00,
323,2011-01-04 00:00:00,B4.2
323,2011-01-04 12:00:00,B4.2
323,2011-01-05 00:00:00,B1.8
323,2011-01-05 12:00:00,B1.8
323,2011-01-06 00:00:00,
323,2011-01-06 12:00:00,
323,2011-01-07 00:00:00,
323,2011-01-07 12:00:00,
323,2011-01-08 00:00:00,
323,2011-01-08 12:00:00,
325,2010-12-30 00:00:00,
325,2010-12-30 12:00:00,
325,2010-12-31 00:00:00,
325,2010-12-31 12:00:00,
325,2011-01-01 00:00:00,
325,2011-01-01 12:00:00,
325,2011-01-02 00:00:00,
325,2011-01-02 12:00:00,
325,2011-01-03 00:00:00,B4.2
325,2011-01-03 12:00:00,C1.9
325,2011-01-04 00:00:00,C1.9
327,2010-12-31 00:00:00,
327,2010-12-31 12:00:00,
327,2011-01-01 00:00:00,
327,2011-01-01 12:00:00,
342,2011-01-10 00:00:00,
355,2011-01-27 00:00:00,
355,2011-01-27 12:00:00,
355,2011-01-28 00:00:00,B6.2
355,2011-01-28 12:00:00,B7.3
355,2011-01-29 00:00:00,B7.3
355,2011-01-29 12:00:00,B2.8
355,2011-01-30 00:00:00,B1.3
355,2011-01-30 12:00:00,B1.3
355,2011-01-31 00:00:00,B1.5
355,2011-01-31 12:00:00,B3.0
355,2011-02-01 00:00:00,B4.5
355,2011-02-01 12:00:00,B4.5
355,2011-02-02 00:00:00,B4.1
355,2011-02-02 12:00:00,B2.6
355,2011-02-03 00:00:00,B2.6
355,2011-02-03 12:00:00,
355,2011-02-04 00:00:00,
355,2011-02-04 12:00:00,
355,2011-02-05 00:00:00,
355,2011-02-05 12:00:00,
355,2011-02-06 00:00:00,
355,2011-02-06 12:00:00,
361,2011-02-02 00:00:00,
361,2011-02-02 12:00:00,
361,2011-02-03 00:00:00,B2.0
361,2011-02-03 12:00:00,B2.7
361,2011-02-04 00:00:00,B9.5
361,2011-02-04 12:00:00,B9.5
361,2011-02-05 00:00:00,B3.6
361,2011-02-05 12:00:00,
362,2011-02-03 00:00:00,
362,2011-02-03 12:00:00,
362,2011-02-04 00:00:00,
362,2011-02-04 12:00:00,
362,2011-02-05 00:00:00,
362,2011-02-05 12:00:00,
362,2011-02-06 00:00:00,
362,2011-02-06 12:00:00,B1.0
362,2011-02-07 00:00:00,B1.9
362,2011-02-07 12:00:00,B2.0
362,2011-02-08 00:00:00,C4.0
362,2011-02-08 12:00:00,M1.9
362,2011-02-09 00:00:00,M1.9
362,2011-02-09 12:00:00,C2.0
362,2011-02-10 00:00:00,C4.7
367,2011-02-08 00:00:00,
367,2011-02-08 12:00:00,
371,2011-02-10 00:00:00,
384,2011-02-12 00:00:00,B8.9
384,2011-02-12 12:00:00,C1.4
384,2011-02-13 00:00:00,C1.4
384,2011-02-13 12:00:00,
384,2011-02-14 00:00:00,
384,2011-02-14 12:00:00,
384,2011-02-15 00:00:00,
384,2011-02-15 12:00:00,M1.1
384,2011-02-16 00:00:00,M1.1
384,2011-02-16 12:00:00,
384,2011-02-17 00:00:00,
384,2011-02-17 12:00:00,M1.0
384,2011-02-18 00:00:00,M1.3
384,2011-02-18 12:00:00,M1.3
384,2011-02-19 00:00:00,C8.5
384,2011-02-19 12:00:00,C1.7
384,2011-02-20 00:00:00,C1.7
384,2011-02-20 12:00:00,B8.8
384,2011-02-21 00:00:00,C1.4
384,2011-02-21 12:00:00,C1.4
384,2011-02-22 00:00:00,B6.5
384,2011-02-22 12:00:00,B6.1
384,2011-02-23 00:00:00,C1.2
384,2011-02-23 12:00:00,C1.2
384,2011-02-24 00:00:00,B3.9
384,2011-02-24 12:00:00,
384,2011-02-25 00:00:00,
392,2011-02-24 00:00:00,M3.5
392,2011-02-24 12:00:00,C2.7
392,2011-02-25 00:00:00,C1.6
392,2011-02-25 12:00:00,B9.0
392,2011-02-26 00:00:00,B9.0
392,2011-02-26 12:00:00,B8.3
392,2011-02-27 00:00:00,
392,2011-02-27 12:00:00,
392,2011-02-28 00:00:00,
392,2011-02-28 12:00:00,
392,2011-03-01 00:00:00,
392,2011-03-01 12:00:00,
392,2011-03-02 00:00:00,
392,2011-03-02 12:00:00,
392,2011-03-03 00:00:00,
392,2011-03-03 12:00:00,
394,2011-02-25 00:00:00,
394,2011-02-25 12:00:00,
394,2011-02-26 00:00:00,
394,2011-02-26 12:00:00,
394,2011-02-27 00:00:00,
394,2011-02-27 12:00:00,
394,2011-02-28 00:00:00,
394,2011-02-28 12:00:00,
394,2011-03-01 00:00:00,
394,2011-03-01 12:00:00,
394,2011-03-02 00:00:00,
394,2011-03-02 12:00:00,
394,2011-03-03 00:00:00,
394,2011-03-03 12:00:00,
394,2011-03-04 00:00:00,
394,2011-03-04 12:00:00,C2.2
394,2011-03-05 00:00:00,C2.2
394,2011-03-05 12:00:00,C7.5
394,2011-03-06 00:00:00,C7.5
394,2011-03-06 12:00:00,M1.5
394,2011-03-07 00:00:00,M1.5
394,2011-03-07 12:00:00,M5.3
394,2011-03-08 00:00:00,M5.3
394,2011-03-08 12:00:00,M4.4
394,2011-03-09 00:00:00,C5.0
407,2011-03-05 00:00:00,C2.9
407,2011-03-05 12:00:00,C2.9
407,2011-03-06 00:00:00,C6.0
407,2011-03-06 12:00:00,C6.0
407,2011-03-07 00:00:00,
407,2011-03-07 12:00:00,
407,2011-03-08 00:00:00,
407,2011-03-08 12:00:00,
407,2011-03-09 00:00:00,C2.7
407,2011-03-09 12:00:00,C2.7
407,2011-03-10 00:00:00,
407,2011-03-10 12:00:00,
407,2011-03-11 00:00:00,
407,2011-03-11 12:00:00,C2.2
407,2011-03-12 00:00:00,C2.2
407,2011-03-12 12:00:00,C2.2
407,2011-03-13 00:00:00,C1.7
407,2011-03-13 12:00:00,C1.7
407,2011-03-14 00:00:00,M4.2
407,2011-03-14 12:00:00,M4.2
407,2011-03-15 00:00:00,M1.0
407,2011-03-15 12:00:00,C2.9
407,2011-03-16 00:00:00,C3.7
407,2011-03-16 12:00:00,C3.7
407,2011-03-17 00:00:00,B4.6
414,2011-03-07 00:00:00,
414,2011-03-07 12:00:00,C4.7
414,2011-03-08 00:00:00,C4.7
414,2011-03-08 12:00:00,
415,2011-03-07 00:00:00,
415,2011-03-07 12:00:00,M1.5
415,2011-03-08 00:00:00,M1.5
421,2011-03-11 00:00:00,
421,2011-03-11 12:00:00,
421,2011-03-12 00:00:00,C1.6
421,2011-03-12 12:00:00,C1.6
421,2011-03-13 00:00:00,
421,2011-03-13 12:00:00,C1.4
421,2011-03-14 00:00:00,C1.4
421,2011-03-14 12:00:00,B6.9
429,2011-03-15 00:00:00,
437,2011-03-21 00:00:00,
437,2011-03-21 12:00:00,C3.9
437,2011-03-22 00:00:00,C3.9
437,2011-03-22 12:00:00,M1.4
437,2011-03-23 00:00:00,M1.4
437,2011-03-23 12:00:00,C1.1
437,2011-03-24 00:00:00,M1.0
437,2011-03-24 12:00:00,M1.0
437,2011-03-25 00:00:00,M1.0
437,2011-03-25 12:00:00,M1.0
437,2011-03-26 00:00:00,C1.0
437,2011-03-26 12:00:00,C3.1
437,2011-03-27 00:00:00,C3.1
437,2011-03-27 12:00:00,C1.4
437,2011-03-28 00:00:00,C1.4
437,2011-03-28 12:00:00,B9.0
437,2011-03-29 00:00:00,B8.6
437,2011-03-29 12:00:00,B9.0
437,2011-03-30 00:00:00,B9.0
437,2011-03-30 12:00:00,B5.0
437,2011-03-31 00:00:00,C2.6
437,2011-03-31 12:00:00,C3.4
437,2011-04-01 00:00:00,C3.4
437,2011-04-01 12:00:00,
437,2011-04-02 00:00:00,B8.3
437,2011-04-02 12:00:00,B8.3
437,2011-04-03 00:00:00,
437,2011-04-03 12:00:00,
437,2011-04-04 00:00:00,
443,2011-03-24 00:00:00,
451,2011-03-26 00:00:00,
451,2011-03-26 12:00:00,
451,2011-03-27 00:00:00,
451,2011-03-27 12:00:00,
451,2011-03-28 00:00:00,
451,2011-03-28 12:00:00,C1.1
451,2011-03-29 00:00:00,C1.2
451,2011-03-29 12:00:00,C1.2
451,2011-03-30 00:00:00,C1.9
451,2011-03-30 12:00:00,C1.9
466,2011-03-30 00:00:00,
466,2011-03-30 12:00:00,
466,2011-03-31 00:00:00,
480,2011-04-03 00:00:00,
480,2011-04-03 12:00:00,
480,2011-04-04 00:00:00,B5.2
480,2011-04-04 12:00:00,B7.4
480,2011-04-05 00:00:00,B7.4
480,2011-04-05 12:00:00,
480,2011-04-06 00:00:00,B9.6
480,2011-04-06 12:00:00,B9.6
480,2011-04-07 00:00:00,
480,2011-04-07 12:00:00,
480,2011-04-08 00:00:00,B7.4
480,2011-04-08 12:00:00,B8.0
480,2011-04-09 00:00:00,B8.0
480,2011-04-09 12:00:00,B5.0
480,2011-04-10 00:00:00,B5.1
480,2011-04-10 12:00:00,B5.1
480,2011-04-11 00:00:00,
480,2011-04-11 12:00:00,
480,2011-04-12 00:00:00,
480,2011-04-12 12:00:00,C1.4
480,2011-04-13 00:00:00,C1.4
495,2011-04-07 00:00:00,
495,2011-04-07 12:00:00,
495,2011-04-08 00:00:00,
495,2011-04-08 12:00:00,
495,2011-04-09 00:00:00,
495,2011-04-09 12:00:00,
495,2011-04-10 00:00:00,
495,2011-04-10 12:00:00,
495,2011-04-11 00:00:00,C2.5
495,2011-04-11 12:00:00,C3.1
495,2011-04-12 00:00:00,C3.1
495,2011-04-12 12:00:00,
495,2011-04-13 00:00:00,C1.1
495,2011-04-13 12:00:00,C2.3
495,2011-04-14 00:00:00,C2.4
495,2011-04-14 12:00:00,C2.4
495,2011-04-15 00:00:00,M1.3
495,2011-04-15 12:00:00,M1.3
495,2011-04-16 00:00:00,C5.7
495,2011-04-16 12:00:00,C5.7
495,2011-04-17 00:00:00,B7.1
495,2011-04-17 12:00:00,
495,2011-04-18 00:00:00,B7.6
495,2011-04-18 12:00:00,B7.6
495,2011-04-19 00:00:00,
495,2011-04-19 12:00:00,
495,2011-04-20 00:00:00,
504,2011-04-11 00:00:00,
504,2011-04-11 12:00:00,
504,2011-04-12 00:00:00,C1.8
504,2011-04-12 12:00:00,C1.9
504,2011-04-13 00:00:00,C1.9
504,2011-04-13 12:00:00,C4.9
504,2011-04-14 00:00:00,C4.9
504,2011-04-14 12:00:00,C1.9
504,2011-04-15 00:00:00,C1.9
504,2011-04-15 12:00:00,C1.4
504,2011-04-16 00:00:00,C1.4
504,2011-04-16 12:00:00,B9.0
504,2011-04-17 00:00:00,
504,2011-04-17 12:00:00,C1.8
504,2011-04-18 00:00:00,C1.8
504,2011-04-18 12:00:00,C1.5
504,2011-04-19 00:00:00,B9.0
504,2011-04-19 12:00:00,B6.7
504,2011-04-20 00:00:00,B6.7
504,2011-04-20 12:00:00,
504,2011-04-21 00:00:00,
504,2011-04-21 12:00:00,
504,2011-04-22 00:00:00,
504,2011-04-22 12:00:00,
514,2011-04-18 00:00:00,C1.0
514,2011-04-18 12:00:00,C1.0
514,2011-04-19 00:00:00,C1.0
514,2011-04-19 12:00:00,C1.0
514,2011-04-20 00:00:00,C4.0
514,2011-04-20 12:00:00,C8.5
514,2011-04-21 00:00:00,C8.5
514,2011-04-21 12:00:00,M1.8
514,2011-04-22 00:00:00,M1.8
514,2011-04-22 12:00:00,M1.2
514,2011-04-23 00:00:00,C2.4
514,2011-04-23 12:00:00,C1.0
514,2011-04-24 00:00:00,
514,2011-04-24 12:00:00,
514,2011-04-25 00:00:00,B8.1
514,2011-04-25 12:00:00,B8.1
514,2011-04-26 00:00:00,
514,2011-04-26 12:00:00,
514,2011-04-27 00:00:00,B8.0
514,2011-04-27 12:00:00,C1.0
514,2011-04-28 00:00:00,C1.0
514,2011-04-28 12:00:00,
514,2011-04-29 00:00:00,C1.8
514,2011-04-29 12:00:00,C3.2
514,2011-04-30 00:00:00,C3.2
514,2011-04-30 12:00:00,C3.2
514,2011-05-01 00:00:00,C1.6
514,2011-05-01 12:00:00,B5.8
514,2011-05-02 00:00:00,B6.0
532,2011-04-24 00:00:00,
536,2011-04-25 00:00:00,
536,2011-04-25 12:00:00,
538,2011-04-25 00:00:00,
538,2011-04-25 12:00:00,
538,2011-04-26 00:00:00,
538,2011-04-26 12:00:00,
540,2011-04-25 00:00:00,
540,2011-04-25 12:00:00,
540,2011-04-26 00:00:00,
540,2011-04-26 12:00:00,B8.7
